src,dst,src_ac,dst_ac,compartment,edge_type,edge_label,edge_id
883,966,O15399,O43318,plasma_membrane,co_localized,-1,883|966|plasma_membrane
883,967,O15399,O43353,plasma_membrane,co_localized,-1,883|967|plasma_membrane
883,992,O15399,O43463,plasma_membrane,co_localized,-1,883|992|plasma_membrane
883,885,O15399,O43490,plasma_membrane,co_localized,-1,883|885|plasma_membrane
883,1600,O15399,O43511,plasma_membrane,co_localized,-1,883|1600|plasma_membrane
883,1930,O15399,O43561,plasma_membrane,co_localized,-1,883|1930|plasma_membrane
883,24,O15399,O60291,plasma_membrane,co_localized,-1,24|883|plasma_membrane
883,1827,O15399,O60331,plasma_membrane,co_localized,-1,883|1827|plasma_membrane
883,1377,O15399,O60346,plasma_membrane,co_localized,-1,883|1377|plasma_membrane
883,621,O15399,O60883,plasma_membrane,co_localized,-1,621|883|plasma_membrane
883,418,O15399,O75317,plasma_membrane,co_localized,-1,418|883|plasma_membrane
883,1898,O15399,O75365,plasma_membrane,co_localized,-1,883|1898|plasma_membrane
883,888,O15399,O75473,plasma_membrane,co_localized,-1,883|888|plasma_membrane
883,1528,O15399,O75581,plasma_membrane,co_localized,-1,883|1528|plasma_membrane
883,419,O15399,O75604,plasma_membrane,co_localized,-1,419|883|plasma_membrane
883,1734,O15399,O75882,plasma_membrane,co_localized,-1,883|1734|plasma_membrane
883,1520,O15399,O75915,plasma_membrane,co_localized,-1,883|1520|plasma_membrane
883,36,O15399,O76050,plasma_membrane,co_localized,-1,36|883|plasma_membrane
883,686,O15399,O76083,plasma_membrane,co_localized,-1,686|883|plasma_membrane
883,1564,O15399,O76090,plasma_membrane,co_localized,-1,883|1564|plasma_membrane
883,787,O15399,O94875,plasma_membrane,co_localized,-1,787|883|plasma_membrane
883,1974,O15399,O95180,plasma_membrane,co_localized,-1,883|1974|plasma_membrane
883,1782,O15399,O95259,plasma_membrane,co_localized,-1,883|1782|plasma_membrane
883,1245,O15399,O95278,plasma_membrane,co_localized,-1,883|1245|plasma_membrane
883,1369,O15399,O95859,plasma_membrane,co_localized,-1,883|1369|plasma_membrane
883,679,O15399,P00533,plasma_membrane,co_localized,-1,679|883|plasma_membrane
883,891,O15399,P01111,plasma_membrane,co_localized,-1,883|891|plasma_membrane
883,892,O15399,P01112,plasma_membrane,co_localized,-1,883|892|plasma_membrane
883,893,O15399,P01116,plasma_membrane,co_localized,-1,883|893|plasma_membrane
883,1433,O15399,P01130,plasma_membrane,co_localized,-1,883|1433|plasma_membrane
883,1774,O15399,P01135,plasma_membrane,co_localized,-1,883|1774|plasma_membrane
883,498,O15399,P01730,plasma_membrane,co_localized,-1,498|883|plasma_membrane
883,1402,O15399,P01732,plasma_membrane,co_localized,-1,883|1402|plasma_membrane
883,1295,O15399,P01848,plasma_membrane,co_localized,-1,883|1295|plasma_membrane
883,774,O15399,P01857,plasma_membrane,co_localized,-1,774|883|plasma_membrane
883,1313,O15399,P01880,plasma_membrane,co_localized,-1,883|1313|plasma_membrane
883,955,O15399,P01889,plasma_membrane,co_localized,-1,883|955|plasma_membrane
883,1185,O15399,P01903,plasma_membrane,co_localized,-1,883|1185|plasma_membrane
883,1314,O15399,P01909,plasma_membrane,co_localized,-1,883|1314|plasma_membrane
883,1186,O15399,P01911,plasma_membrane,co_localized,-1,883|1186|plasma_membrane
883,1315,O15399,P01920,plasma_membrane,co_localized,-1,883|1315|plasma_membrane
883,1188,O15399,P02786,plasma_membrane,co_localized,-1,883|1188|plasma_membrane
883,586,O15399,P03372,plasma_membrane,co_localized,-1,586|883|plasma_membrane
883,969,O15399,P04049,plasma_membrane,co_localized,-1,883|969|plasma_membrane
883,1050,O15399,P04083,plasma_membrane,co_localized,-1,883|1050|plasma_membrane
883,1190,O15399,P04233,plasma_membrane,co_localized,-1,883|1190|plasma_membrane
883,669,O15399,P04234,plasma_membrane,co_localized,-1,669|883|plasma_membrane
883,963,O15399,P04439,plasma_membrane,co_localized,-1,883|963|plasma_membrane
883,792,O15399,P04626,plasma_membrane,co_localized,-1,792|883|plasma_membrane
883,895,O15399,P04629,plasma_membrane,co_localized,-1,883|895|plasma_membrane
883,1858,O15399,P04839,plasma_membrane,co_localized,-1,883|1858|plasma_membrane
883,1501,O15399,P05026,plasma_membrane,co_localized,-1,883|1501|plasma_membrane
883,1297,O15399,P05067,plasma_membrane,co_localized,-1,883|1297|plasma_membrane
883,1663,O15399,P05129,plasma_membrane,co_localized,-1,883|1663|plasma_membrane
883,1790,O15399,P05556,plasma_membrane,co_localized,-1,883|1790|plasma_membrane
