uniprot_ac,gene,enzyme_class,node_id,is_e3,is_dub,is_substrate
Q92560,BAP1,DUB,464,0,1,0
Q92905,COPS5,DUB,465,0,1,1
Q92995,USP13,DUB,466,0,1,0
Q93008,USP9X,DUB,467,0,1,0
Q93009,USP7,DUB,468,0,1,1
Q96BN8,OTULIN,DUB,469,0,1,1
Q96DC9,OTUB2,DUB,470,0,1,0
Q96DX7,TRIM44,DUB,471,0,1,0
Q96FW1,OTUB1,DUB,472,0,1,1
Q96G74,OTUD5,DUB,473,0,1,0
Q96JH7,VCPIP1,DUB,474,0,1,0
Q96K76,USP47,DUB,475,0,1,1
Q96RU2,USP28,DUB,476,0,1,0
Q9BXU7,USP26,DUB,477,0,1,0
Q9H0E7,USP44,DUB,478,0,1,0
Q9H3M9,ATXN3L,DUB,479,0,1,0
Q9H9J4,USP42,DUB,480,0,1,0
Q9HBJ7,USP29,DUB,481,0,1,0
Q9NQC7,CYLD,DUB,482,0,1,1
Q9P275,USP36,DUB,483,0,1,0
Q9P2H5,USP35,DUB,484,0,1,0
Q9UGI0,ZRANB1,DUB,485,0,1,0
Q9UHP3,USP25,DUB,486,0,1,0
Q9UK80,USP21,DUB,487,0,1,0
Q9UMW8,USP18,DUB,488,0,1,1
Q9UPT9,USP22,DUB,489,0,1,0
Q9UPU5,USP24,DUB,490,0,1,0
Q9Y2K6,USP20,DUB,491,0,1,1
Q9Y4E8,USP15,DUB,492,0,1,1
Q9Y5E6,PCDHB3,DUB,493,0,1,0
Q9Y5K5,UCHL5,DUB,494,0,1,1
Q9Y5T5,USP16,DUB,495,0,1,0
Q9Y6I4,USP3,DUB,496,0,1,0
P14635,CCNB1,SUBSTRATE,497,0,0,1
P01730,CD4,SUBSTRATE,498,0,0,1
O00548,DLL1,SUBSTRATE,499,0,0,1
Q9NR61,DLL4,SUBSTRATE,500,0,0,1
Q9NYJ7,DLL3,SUBSTRATE,501,0,0,1
Q9UNE0,EDAR,SUBSTRATE,502,0,0,1
Q14653,IRF3,SUBSTRATE,503,0,0,1
O15105,SMAD7,SUBSTRATE,504,0,0,1
O15350,TP73,SUBSTRATE,505,0,0,1
P11161,EGR2,SUBSTRATE,506,0,0,1
P24928,POLR2A,SUBSTRATE,507,0,0,1
P49281,SLC11A2,SUBSTRATE,508,0,0,1
P60484,PTEN,SUBSTRATE,509,0,0,1
P84022,SMAD3,SUBSTRATE,510,0,0,1
Q01860,POU5F1,SUBSTRATE,511,0,0,1
Q13950,RUNX2,SUBSTRATE,512,0,0,1
Q8IUC6,TICAM1,SUBSTRATE,513,0,0,1
Q9H074,PAIP1,SUBSTRATE,514,0,0,1
Q9P2A4,ABI3,SUBSTRATE,515,0,0,1
Q9UM47,NOTCH3,SUBSTRATE,516,0,0,1
Q9Y5R6,DMT1,SUBSTRATE,517,0,0,1
P50542,PEX5,SUBSTRATE,518,0,0,1
P10912,GHR,SUBSTRATE,519,0,0,1
O75553,DAB1,SUBSTRATE,520,0,0,1
O60674,JAK2,SUBSTRATE,521,0,0,1
P35568,IRS1,SUBSTRATE,522,0,0,1
P40189,IL6ST,SUBSTRATE,523,0,0,1
Q9Y286,SIGLEC7,SUBSTRATE,524,0,0,1
Q9Y4H2,IRS2,SUBSTRATE,525,0,0,1
P10721,KIT,SUBSTRATE,526,0,0,1
P04179,SOD2,SUBSTRATE,527,0,0,1
P04637,TP53,SUBSTRATE,528,0,0,1
P38936,CDKN1A,SUBSTRATE,529,0,0,1
Q8N726,CDKN2A,SUBSTRATE,530,0,0,1
P51668,UBE2D1,SUBSTRATE,531,0,0,1
P54829,STK36,SUBSTRATE,532,0,0,1
P62714,PPP2CB,SUBSTRATE,533,0,0,1
P67775,PPP2CA,SUBSTRATE,534,0,0,1
P78318,IGBP1,SUBSTRATE,535,0,0,1
Q9NRP7,PPP2R4,SUBSTRATE,536,0,0,1
P07948,LYN,SUBSTRATE,537,0,0,1
P15498,VAV1,SUBSTRATE,538,0,0,1
P23458,JAK1,SUBSTRATE,539,0,0,1
Q04206,RELA,SUBSTRATE,540,0,0,1
P10644,PRKAR1A,SUBSTRATE,541,0,0,1
P13861,PRKAR2A,SUBSTRATE,542,0,0,1
P31321,PRKAR1B,SUBSTRATE,543,0,0,1
P31323,PRKAR2B,SUBSTRATE,544,0,0,1
Q8IVT5,KSR1,SUBSTRATE,545,0,0,1
Q9Y4C4,MFHAS1,SUBSTRATE,546,0,0,1
O14974,PPP1R12A,SUBSTRATE,547,0,0,1
O15379,HDAC3,SUBSTRATE,548,0,0,1
O43597,SPRY2,SUBSTRATE,549,0,0,1
O75376,NCOR1,SUBSTRATE,550,0,0,1
O75925,PIAS1,SUBSTRATE,551,0,0,1
O96017,CHEK2,SUBSTRATE,552,0,0,1
P08247,SYP,SUBSTRATE,553,0,0,1
P10275,AR,SUBSTRATE,554,0,0,1
P37275,ZEB1,SUBSTRATE,555,0,0,1
P37840,SNCA,SUBSTRATE,556,0,0,1
P43146,DCC,SUBSTRATE,557,0,0,1
P46527,CDKN1B,SUBSTRATE,558,0,0,1
P55036,PSMD4,SUBSTRATE,559,0,0,1
Q13625,TP53BP2,SUBSTRATE,560,0,0,1
Q16633,POU2AF1,SUBSTRATE,561,0,0,1
Q16656,NRF1,SUBSTRATE,562,0,0,1
Q16665,HIF1A,SUBSTRATE,563,0,0,1
Q92667,AKAP1,SUBSTRATE,564,0,0,1
Q96B97,SH3KBP1,SUBSTRATE,565,0,0,1
Q96KS0,EGLN2,SUBSTRATE,566,0,0,1
Q99933,BAG1,SUBSTRATE,567,0,0,1
Q9BQF6,SENP7,SUBSTRATE,568,0,0,1
Q9BSI4,TINF2,SUBSTRATE,569,0,0,1
Q9GZT9,EGLN1,SUBSTRATE,570,0,0,1
Q9H6Z9,EGLN3,SUBSTRATE,571,0,0,1
Q9NRM7,LATS2,SUBSTRATE,572,0,0,1
Q9NS87,KIF15,SUBSTRATE,573,0,0,1
Q9P212,PLCE1,SUBSTRATE,574,0,0,1
Q9Y6H5,SNCAIP,SUBSTRATE,575,0,0,1
O95295,SNAPIN,SUBSTRATE,576,0,0,1
P04908,H2AC4,SUBSTRATE,577,0,0,1
