pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,src,dst,edge_type,edge_label
E3|O60260|Q9NRD5,E3|O60260,E3,O60260,Q9NRD5,PARK2,PICK1,23,659,enzyme_substrate,1
E3|O60260|Q9NX09,E3|O60260,E3,O60260,Q9NX09,PRKN,DDIT4,23,660,enzyme_substrate,1
E3|O60260|Q9NZ45,E3|O60260,E3,O60260,Q9NZ45,PRKN,CISD1,23,661,enzyme_substrate,1
E3|O60260|Q9UNE7,E3|O60260,E3,O60260,Q9UNE7,PRKN,STUB1,23,393,enzyme_substrate,1
E3|O60260|Q9UNN5,E3|O60260,E3,O60260,Q9UNN5,PRKN,FAF1,23,662,enzyme_substrate,1
E3|O60260|Q9Y4K3,E3|O60260,E3,O60260,Q9Y4K3,PRKN,TRAF6,23,407,enzyme_substrate,1
E3|O60260|Q9Y6H5,E3|O60260,E3,O60260,Q9Y6H5,PARK2,SNCAIP,23,575,enzyme_substrate,1
E3|O60260|Q9Y6K9,E3|O60260,E3,O60260,Q9Y6K9,PARK2,IKBKG,23,663,enzyme_substrate,1
E3|O60291|Q99816,E3|O60291,E3,O60291,Q99816,MGRN1,TSG101,24,664,enzyme_substrate,1
E3|O60337|O60337,E3|O60337,E3,O60337,O60337,MARCHF6,MARCHF6,25,25,enzyme_substrate,1
E3|O60337|Q14534,E3|O60337,E3,O60337,Q14534,MARCHF6,SQLE,25,665,enzyme_substrate,1
E3|O60337|Q92813,E3|O60337,E3,O60337,Q92813,MARCHF6,DIO2,25,666,enzyme_substrate,1
E3|O60683|P50542,E3|O60683,E3,O60683,P50542,PEX10,PEX5,26,518,enzyme_substrate,1
E3|O60784|Q15742,E3|O60784,E3,O60784,Q15742,TOM1,NAB2,27,667,enzyme_substrate,1
E3|O60784|Q99741,E3|O60784,E3,O60784,Q99741,TOM1,CDC6,27,668,enzyme_substrate,1
E3|O60858|O60858,E3|O60858,E3,O60858,O60858,TRIM13,TRIM13,28,28,enzyme_substrate,1
E3|O60858|P04234,E3|O60858,E3,O60858,P04234,TRIM13,CD3D,28,669,enzyme_substrate,1
E3|O60858|P22736,E3|O60858,E3,O60858,P22736,TRIM13,NR4A1,28,670,enzyme_substrate,1
E3|O60858|P31749,E3|O60858,E3,O60858,P31749,TRIM13,AKT1,28,671,enzyme_substrate,1
E3|O60858|P31751,E3|O60858,E3,O60858,P31751,TRIM13,AKT2,28,672,enzyme_substrate,1
E3|O60858|P55072,E3|O60858,E3,O60858,P55072,TRIM13,VCP,28,673,enzyme_substrate,1
E3|O60858|Q00987,E3|O60858,E3,O60858,Q00987,TRIM13,MDM2,28,94,enzyme_substrate,1
E3|O60907|P35222,E3|O60907,E3,O60907,P35222,TBL1X,CTNNB1,29,674,enzyme_substrate,1
E3|O75150|Q16623,E3|O75150,E3,O75150,Q16623,RNF40,STX1A,30,675,enzyme_substrate,1
E3|O75150|Q16778,E3|O75150,E3,O75150,Q16778,RNF40,H2BC21,30,676,enzyme_substrate,1
E3|O75150|Q96A08,E3|O75150,E3,O75150,Q96A08,RNF40,H2BC1,30,677,enzyme_substrate,1
E3|O75150|Q9UQ80,E3|O75150,E3,O75150,Q9UQ80,RNF40,PA2G4,30,678,enzyme_substrate,1
E3|O75159|P00533,E3|O75159,E3,O75159,P00533,SOCS5,EGFR,31,679,enzyme_substrate,1
E3|O75159|P42224,E3|O75159,E3,O75159,P42224,SOCS5,STAT1,31,680,enzyme_substrate,1
